Framework Name,Control Family,Control Class,Control Number,Control Short Name,Control Long Name,Control Description,Supplemental Guidance
CMMC v1.02 Maturity Level 1,ACCESS CONTROL (AC),C001: Establish system access requirements,AC.1.001,AC.1.001,"AC.1.001: Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems).","Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems).","• FAR Clause 52.204-21 b.1.i
• NIST SP 800-171 Rev 1 3.1.1
• CIS Controls v7.1 1.4, 1.6, 5.1, 14.6, 15.10, 16.8, 16.9, 16.11
• NIST CSF v1.1 PR.AC-1, PR.AC-3, PR.AC-4, PR.AC-6, PR.PT-3, PR.PT-4
• CERT RMM v1.2 TM:SG4.SP1
• NIST SP 800-53 Rev 4 AC-2, AC-3, AC-17
• AU ACSC Essential Eight"
CMMC v1.02 Maturity Level 1,ACCESS CONTROL (AC),C002: Control internal system access,AC.1.002,AC.1.002,AC.1.002: Limit information system access to the types of transactions and functions that authorized users are permitted to execute.,Limit information system access to the types of transactions and functions that authorized users are permitted to execute.,"• FAR Clause 52.204-21 b.1.ii
• NIST SP 800-171 Rev 1 3.1.2
• CIS Controls v7.1 1.4, 1.6, 5.1, 8.5, 14.6, 15.10, 16.8, 16.9, 16.11
• NIST CSF v1.1 PR.AC-1, PR.AC-3, PR.AC-4, PR.AC-6, PR.PT-3, PR.PT-4
• CERT RMM v1.2 TM:SG4.SP1
• NIST SP 800-53 Rev 4 AC-2, AC-3, AC-17"
CMMC v1.02 Maturity Level 1,ACCESS CONTROL (AC),C004: Limit data access to authorized users and processes,AC.1.003,AC.1.003,AC.1.003: Verify and control/limit connections to and use of external information systems.,Verify and control/limit connections to and use of external information systems.,"• FAR Clause 52.204-21 b.1.iii
• NIST SP 800-171 Rev 1 3.1.20
• CIS Controls v7.1 12.1, 12.4
• NIST CSF v1.1 ID.AM-4, PR.AC-3
• CERT RMM v1.2 EXD:SG3.SP1
• NIST SP 800-53 Rev 4 AC-20, AC-20(1)"
CMMC v1.02 Maturity Level 1,ACCESS CONTROL (AC),C004: Limit data access to authorized users and processes,AC.1.004,AC.1.004,AC.1.004: Control information posted or processed on publicly accessible information systems.,Control information posted or processed on publicly accessible information systems.,"• FAR Clause 52.204-21 b.1.iv
• NIST SP 800-171 Rev 1 3.1.22
• NIST SP 800-53 Rev 4 AC-22"
CMMC v1.02 Maturity Level 1,IDENTIFICATION AND AUTHENTICATION (IA),C015: Grant access to authenticated entities,IA.1.076,IA.1.076,"IA.1.076: Identify information system users, processes acting on behalf of users, or devices.","Identify information system users, processes acting on behalf of users, or devices.","• FAR Clause 52.204-21 b.1.v
• NIST SP 800-171 Rev 1 3.5.1
• CIS Controls v7.1 4.2, 4.3, 16.8, 16.9
• NIST CSF v1.1 PR.AC-1, PR.AC-6, PR.AC-7
• CERT RMM v1.2 ID:SG1.SP1
• NIST SP 800-53 Rev 4 IA-2, IA-3, IA-5"
CMMC v1.02 Maturity Level 1,IDENTIFICATION AND AUTHENTICATION (IA),C015: Grant access to authenticated entities,IA.1.077,IA.1.077,"IA.1.077: Authenticate (or verify) the identities of those users, processes, or devices, as a prerequisite to allowing access to organizational information systems.","Authenticate (or verify) the identities of those users, processes, or devices, as a prerequisite to allowing access to organizational information systems.","• FAR Clause 52.204-21 b.1.vi
• NIST SP 800-171 Rev 1 3.5.2
• CIS Controls v7.1 4.2, 4.3, 16.8, 16.9
• NIST CSF v1.1 PR.AC-1, PR.AC-6, PR.AC-7
• CERT RMM v1.2 TM:SG4.SP1
• NIST SP 800-53 Rev 4 IA-2, IA-3, IA-5
• UK NCSC Cyber Essentials"
CMMC v1.02 Maturity Level 1,MEDIA PROTECTION (MP),C024: Sanitize media,MP.1.118,MP.1.118,MP.1.118: Sanitize or destroy information system media containing Federal Contract Information before disposal or release for reuse.,Sanitize or destroy information system media containing Federal Contract Information before disposal or release for reuse.,"• FAR Clause 52.204-21 b.1.vii
• NIST SP 800-171 Rev 1 3.8.3
• NIST CSF v1.1 PR.DS-3
• CERT RMM v1.2 KIM:SG4.SP3
• NIST SP 800-53 Rev 4 MP-6"
CMMC v1.02 Maturity Level 1,PHYSICAL PROTECTION (PE),C028: Limit physical access,PE.1.131,PE.1.131,"PE.1.131: Limit physical access to organizational information systems, equipment, and the respective operating environments to authorized individuals.","Limit physical access to organizational information systems, equipment, and the respective operating environments to authorized individuals.","• FAR Clause 52.204-21 b.1.viii
• NIST SP 800-171 Rev 1 3.10.1
• NIST CSF v1.1 PR.AC-2
• CERT RMM v1.2 KIM:SG4.SP2
• NIST SP 800-53 Rev 4 PE-2"
CMMC v1.02 Maturity Level 1,PHYSICAL PROTECTION (PE),C028: Limit physical access,PE.1.132,PE.1.132,PE.1.132: Escort visitors and monitor visitor activity.,Escort visitors and monitor visitor activity.,"• FAR Clause 52.204-21 Partial b.1.ix 
• NIST SP 800-171 Rev 1 3.10.3
• CERT RMM v1.2 AM:SG1.SP1
• NIST SP 800-53 Rev 4 PE-3"
CMMC v1.02 Maturity Level 1,PHYSICAL PROTECTION (PE),C028: Limit physical access,PE.1.133,PE.1.133,PE.1.133: Maintain audit logs of physical access.,Maintain audit logs of physical access.,"• FAR Clause 52.204-21 Partial b.1.ix 
• NIST SP 800-171 Rev 1 3.10.4
• NIST SP 800-53 Rev 4 PE-3"
CMMC v1.02 Maturity Level 1,PHYSICAL PROTECTION (PE),C028: Limit physical access,PE.1.134,PE.1.134,PE.1.134: Control and manage physical access devices.,Control and manage physical access devices.,"• FAR Clause 52.204-21 Partial b.1.ix 
• NIST SP 800-171 Rev 1 3.10.5
• CERT RMM v1.2 KIM:SG4.SP2
• NIST SP 800-53 Rev 4 PE-3"
CMMC v1.02 Maturity Level 1,SYSTEM AND COMMUNICATIONS PROTECTION (SC),C039: Control communications at system boundaries,SC.1.175,SC.1.175,"SC.1.175: Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.","Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.","• FAR Clause 52.204-21 b.1.x
• NIST SP 800-171 Rev 1 3.13.1
• NIST CSF v1.1 PR.PT-4
• NIST SP 800-53 Rev 4 SC-7
• UK NCSC Cyber Essentials"
CMMC v1.02 Maturity Level 1,SYSTEM AND COMMUNICATIONS PROTECTION (SC),C039: Control communications at system boundaries,SC.1.176,SC.1.176,SC.1.176: Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,"• FAR Clause 52.204-21 b.1.xi
• NIST SP 800-171 Rev 1 3.13.5
• CIS Controls v7.1 14.1
• NIST CSF v1.1 PR.AC-5
• NIST SP 800-53 Rev 4 SC-7
• UK NCSC Cyber Essentials"
