Framework Name,Control Family,Control Class,Control Number,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Domain Name,Domain Identifier
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Access Control activities,AC.4.996,AC.4.996,AC.4.996: Review and measure Access Control activities for effectiveness.,Review and measure Access Control activities for effectiveness.,• CERT RMM v1.2 GG2.GP8,Access Control,AC
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Asset Management activities,AM.4.996,AM.4.996,AM.4.996: Review and measure Asset Management activities for effectiveness.,Review and measure Asset Management activities for effectiveness.,• CERT RMM v1.2 GG2.GP9,Asset Management,AM
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Audit and Accountability activities,AU.4.996,AU.4.996,AU.4.996: Review and measure Audit and Accountability activities for effectiveness.,Review and measure Audit and Accountability activities for effectiveness.,• CERT RMM v1.2 GG2.GP10,Audit and Accountability,AU
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Awareness and Training activities,AT.4.996,AT.4.996,AT.4.996: Review and measure Awareness and Training activities for effectiveness.,Review and measure Awareness and Training activities for effectiveness.,• CERT RMM v1.2 GG2.GP11,Awareness and Training,AT
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Configuration Management activities,CM.4.996,CM.4.996,CM.4.996: Review and measure Configuration Management activities for effectiveness.,Review and measure Configuration Management activities for effectiveness.,• CERT RMM v1.2 GG2.GP12,Configuration Management,CM
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Identification and Authentication activities,IA.4.996,IA.4.996,IA.4.996: Review and measure Identification and Authentication activities for effectiveness.,Review and measure Identification and Authentication activities for effectiveness.,• CERT RMM v1.2 GG2.GP13,Identification and Authentication,IA
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Incident Response activities,IR.4.996,IR.4.996,IR.4.996: Review and measure Incident Response activities for effectiveness.,Review and measure Incident Response activities for effectiveness.,• CERT RMM v1.2 GG2.GP14,Incident Response,IR
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Maintenance activities,MA.4.996,MA.4.996,MA.4.996: Review and measure Maintenance activities for effectiveness.,Review and measure Maintenance activities for effectiveness.,• CERT RMM v1.2 GG2.GP15,Maintenance,MA
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Media Protection activities,MP.4.996,MP.4.996,MP.4.996: Review and measure Media Protection activities for effectiveness.,Review and measure Media Protection activities for effectiveness.,• CERT RMM v1.2 GG2.GP16,Media Protection,MP
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Personnel Security activities,PS.4.996,PS.4.996,PS.4.996: Review and measure Personnel Security activities for effectiveness.,Review and measure Personnel Security activities for effectiveness.,• CERT RMM v1.2 GG2.GP17,Personnel Security,PS
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Physical Protection activities,PE.4.996,PE.4.996,PE.4.996: Review and measure Physical Protection activities for effectiveness.,Review and measure Physical Protection activities for effectiveness.,• CERT RMM v1.2 GG2.GP18,Physical Protection,PE
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Recovery activities,RE.4.996,RE.4.996,RE.4.996: Review and measure Recovery activities for effectiveness.,Review and measure Recovery activities for effectiveness.,• CERT RMM v1.2 GG2.GP19,Recovery,RE
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Risk Management activities,RM.4.996,RM.4.996,RM.4.996: Review and measure Risk Management activities for effectiveness.,Review and measure Risk Management activities for effectiveness.,• CERT RMM v1.2 GG2.GP20,Risk Management,RM
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Security Assessment activities,CA.4.996,CA.4.996,CA.4.996: Review and measure Security Assessment activities for effectiveness.,Review and measure Security Assessment activities for effectiveness.,• CERT RMM v1.2 GG2.GP21,Security Assessment,CA
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve Situational Awareness activities,SA.4.996,SA.4.996,SA.4.996: Review and measure Situational Awareness activities for effectiveness.,Review and measure Situational Awareness activities for effectiveness.,• CERT RMM v1.2 GG2.GP22,Situational Awareness,SA
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve System and Communications Protection activities,SC.4.996,SC.4.996,SC.4.996: Review and measure System and Communications Protection activities for effectiveness.,Review and measure System and Communications Protection activities for effectiveness.,• CERT RMM v1.2 GG2.GP23,System and Communications Protection,SC
CMMC v1.02 Maturity Level 4,PROCESS MATURITY (ML),MC01: Improve System and Information Integrity activities,SI.4.996,SI.4.996,SI.4.996: Review and measure System and Information Integrity activities for effectiveness.,Review and measure System and Information Integrity activities for effectiveness.,• CERT RMM v1.2 GG2.GP24,System and Information Integrity,SI
