Framework Name,Control Family,Control Priority,Control Number,Control Short Name,Control Long Name,Control Description,Supplemental Guideance
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,ACCESS CONTROL (AC),Level 1,AC.L1-3.1.1,AC.L1-3.1.1 Authorized Access Control,AC.L1-3.1.1 Authorized Access Control,"Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems).","• FAR Clause 52.204-21 b.1.i
• NIST SP 800-171 Rev 2 3.1.1"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,ACCESS CONTROL (AC),Level 1,AC.L1-3.1.2,AC.L1-3.1.2 Transaction & Function Control,AC.L1-3.1.2 Transaction & Function Control,Limit information system access to the types of transactions and functions that authorized users are permitted to execute.,"• FAR Clause 52.204-21 b.1.ii
• NIST SP 800-171 Rev 2 3.1.2"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,ACCESS CONTROL (AC),Level 1,AC.L1-3.1.20,AC.L1-3.1.20 External Connections,AC.L1-3.1.20 External Connections,Verify and control/limit connections to and use of external information systems.,"• FAR Clause 52.204-21 b.1.iii
• NIST SP 800-171 Rev 2 3.1.20"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,ACCESS CONTROL (AC),Level 1,AC.L1-3.1.22,AC.L1-3.1.22 Control Public Information,AC.L1-3.1.22 Control Public Information,Control information posted or processed on publicly accessible information systems.,"• FAR Clause 52.204-21 b.1.iv
• NIST SP 800-171 Rev 2 3.1.22"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,IDENTIFICATION AND AUTHENTICATION (IA),Level 1,IA.L1-3.5.1,IA.L1-3.5.1 Identification,IA.L1-3.5.1 Identification,"Identify information system users, processes acting on behalf of users, or devices.
","• FAR Clause 52.204-21 b.1.v
• NIST SP 800-171 Rev 2 3.5.1"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,IDENTIFICATION AND AUTHENTICATION (IA),Level 1,IA.L1-3.5.2,IA.L1-3.5.2 Authentication,IA.L1-3.5.2 Authentication,"Authenticate (or verify) the identities of those users, processes, or devices, as a prerequisite to allowing access to organizational information systems.","• FAR Clause 52.204-21 b.1.vi
• NIST SP 800-171 Rev 2 3.5.2"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,MEDIA PROTECTION (MP),Level 1,MP.L1-3.8.3,MP.L1-3.8.3 Media Disposal,MP.L1-3.8.3 Media Disposal,Sanitize or destroy information system media containing Federal Contract Information before disposal or release for reuse.,"• FAR Clause 52.204-21 b.1.vii
• NIST SP 800-171 Rev 2 3.8.3"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,PHYSICAL PROTECTION (PE),Level 1,PE.L1-3.10.1,PE.L1-3.10.1 Limit Physical Access,PE.L1-3.10.1 Limit Physical Access,"Limit physical access to organizational information systems, equipment, and the respective operating environments to authorized individuals.","• FAR Clause 52.204-21 b.1.viii
• NIST SP 800-171 Rev 2 3.10.1"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,PHYSICAL PROTECTION (PE),Level 1,PE.L1-3.10.3,PE.L1-3.10.3 Escort Visitors,PE.L1-3.10.3 Escort Visitors,Escort visitors and monitor visitor activity.,"• FAR Clause 52.204-21 Partial b.1.ix 
• NIST SP 800-171 Rev 2 3.10.3"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,PHYSICAL PROTECTION (PE),Level 1,PE.L1-3.10.4,PE.L1-3.10.4 Physical Access Logs,PE.L1-3.10.4 Physical Access Logs,Maintain audit logs of physical access.,"• FAR Clause 52.204-21 Partial b.1.ix 
• NIST SP 800-171 Rev 2 3.10.4"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,PHYSICAL PROTECTION (PE),Level 1,PE.L1-3.10.5,PE.L1-3.10.5 Manage Physical Access,PE.L1-3.10.5 Manage Physical Access,Control and manage physical access devices.,"• FAR Clause 52.204-21 Partial b.1.ix 
• NIST SP 800-171 Rev 2 3.10.5"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,SYSTEM AND COMMUNICATIONS PROTECTION (SC),Level 1,SC.L1-3.13.1,SC.L1-3.13.1 Boundary Protection,SC.L1-3.13.1 Boundary Protection,"Monitor, control, and protect organizational communications (i.e., information transmitted or received by organizational information systems) at the external boundaries and key internal boundaries of the information systems.","• FAR Clause 52.204-21 b.1.x
• NIST SP 800-171 Rev 2 3.13.1"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,SYSTEM AND COMMUNICATIONS PROTECTION (SC),Level 1,SC.L1-3.13.5,SC.L1-3.13.5 Public-Access System Separation,SC.L1-3.13.5 Public-Access System Separation,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,"• FAR Clause 52.204-21 b.1.xi
• NIST SP 800-171 Rev 2 3.13.5"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,SYSTEM AND INFORMATION INTEGRITY (SI),Level 1,SI.L1-3.14.1,SI.L1-3.14.1 Flaw Remediation,SI.L1-3.14.1 Flaw Remediation,"Identify, report, and correct information and information system flaws in a timely manner.","• FAR Clause 52.204-21 b.1.xii
• NIST SP 800-171 Rev 2 3.14.1"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,SYSTEM AND INFORMATION INTEGRITY (SI),Level 1,SI.L1-3.14.2,SI.L1-3.14.2 Malicious Code Protection,SI.L1-3.14.2 Malicious Code Protection,Provide protection from malicious code at appropriate locations within organizational information systems.,"• FAR Clause 52.204-21 b.1.xiii
• NIST SP 800-171 Rev 2 3.14.2"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,SYSTEM AND INFORMATION INTEGRITY (SI),Level 1,SI.L1-3.14.4,SI.L1-3.14.4 Update Malicious Code Protection,SI.L1-3.14.4 Update Malicious Code Protection,Update malicious code protection mechanisms when new releases are available.,"• FAR Clause 52.204-21 b.1.xiv
• NIST SP 800-171 Rev 2 3.14.4"
Cybersecurity Maturity Model Certification (CMMC) Version 2.0,SYSTEM AND INFORMATION INTEGRITY (SI),Level 1,SI.L1-3.14.5,SI.L1-3.14.5 System & File Scanning,SI.L1-3.14.5 System & File Scanning,"Perform periodic scans of the information system and real-time scans of files from external sources as files are downloaded, opened, or executed.","• FAR Clause 52.204-21 b.1.xv
• NIST SP 800-171 Rev 2 3.14.5"
