Framework,Control Number,Class,Family,Short Name,Long Name,Description,Supplemental Guidance,Title,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (a),,Security Program,GLBA Standards for Safeguarding Customer Information § 314.4 (a),"GLBA Standards for Safeguarding Customer Information § 314.4 (a): Designate a qualified individual responsible for overseeing, implementing and enforcing your information security program","Designate a qualified individual responsible for overseeing and implementing your information security program and enforcing your information security program (for purposes of this part, “Qualified Individual”). The Qualified Individual may be employed by you, an affiliate, or a service provider.",,"Designate a qualified individual responsible for overseeing, implementing and enforcing your information security program",,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (a) (1),,Security Program,GLBA Standards for Safeguarding Customer Information § 314.4 (a) (1),"GLBA Standards for Safeguarding Customer Information § 314.4 (a) (1): Retain responsibility for compliance with designating a qualified individual responsible for overseeing, implementing and enforcing your information security program","To the extent the requirement in this paragraph (a) is met using a service provider or an affiliate, you shall retain responsibility for compliance with this part.",,"Retain responsibility for compliance with designating a qualified individual responsible for overseeing, implementing and enforcing your information security program",,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (a) (2),,Security Program,GLBA Standards for Safeguarding Customer Information § 314.4 (a) (2),GLBA Standards for Safeguarding Customer Information § 314.4 (a) (2): Designate a senior member of your personnel responsible for direction and oversight of the Qualified Individual,"To the extent the requirement in this paragraph (a) is met using a service provider or an affiliate, you shall designate a senior member of your personnel responsible for direction and oversight of the Qualified Individual.",,Designate a senior member of your personnel responsible for direction and oversight of the Qualified Individual,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (a) (3),,Security Program,GLBA Standards for Safeguarding Customer Information § 314.4 (a) (3),GLBA Standards for Safeguarding Customer Information § 314.4 (a) (3): Require the service provider or affiliate to maintain an information security program that protects you in accordinace with the requirements,"To the extent the requirement in this paragraph (a) is met using a service provider or an affiliate, you shall require the service provider or affiliate to maintain an information security program that protects you in accordance with the requirements of this part.",,Require the service provider or affiliate to maintain an information security program that protects you in accordinace with the requirements,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (b),,Risk Assessment,GLBA Standards for Safeguarding Customer Information § 314.4 (b),GLBA Standards for Safeguarding Customer Information § 314.4 (b): Base your information security program on a risk assessment,"Base your information security program on a risk assessment that identifies reasonably foreseeable internal and external risks to the security, confidentiality, and integrity of customer information that could result in the unauthorized disclosure, misuse, alteration, destruction, or other compromise of such information, and assesses the sufficiency of any safeguards in place to control these risks.",,Base your information security program on a risk assessment,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (b) (1) (i),,Risk Assessment,GLBA Standards for Safeguarding Customer Information § 314.4 (b) (1) (i),GLBA Standards for Safeguarding Customer Information § 314.4 (b) (1) (i): The risk assessment shall be written and shall include criteria for the evaluation and categorization of identified security risks or threats you face,The risk assessment shall be written and shall include criteria for the evaluation and categorization of identified security risks or threats you face.,,The risk assessment shall be written and shall include criteria for the evaluation and categorization of identified security risks or threats you face,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (b) (1) (ii),,Risk Assessment,GLBA Standards for Safeguarding Customer Information § 314.4 (b) (1) (ii),"GLBA Standards for Safeguarding Customer Information § 314.4 (b) (1) (ii): The risk assessment shall be written and shall include criteria for the assessment of the confidentiality, integrity, and availability of your information systems and customer information","The risk assessment shall be written and shall include criteria for the assessment of the confidentiality, integrity, and availability of your information systems and customer information, including the adequacy of the existing controls in the context of the identified risks or threats you face.",,"The risk assessment shall be written and shall include criteria for the assessment of the confidentiality, integrity, and availability of your information systems and customer information",,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (b) (1) (iii),,Risk Assessment,GLBA Standards for Safeguarding Customer Information § 314.4 (b) (1) (iii),GLBA Standards for Safeguarding Customer Information § 314.4 (b) (1) (iii): The risk assessment shall be written and shall include requirements describing how identified risks will be mitigated or accepted based on the risk assessment,The risk assessment shall be written and shall include requirements describing how identified risks will be mitigated or accepted based on the risk assessment and how the information security program will address the risks.,,The risk assessment shall be written and shall include requirements describing how identified risks will be mitigated or accepted based on the risk assessment,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (b) (2),,Risk Assessment,GLBA Standards for Safeguarding Customer Information § 314.4 (b) (2),GLBA Standards for Safeguarding Customer Information § 314.4 (b) (2): You shall periodically perform additional risk assessments,"You shall periodically perform additional risk assessments that reexamine the reasonably foreseeable internal and external risks to the security, confidentiality, and integrity of customer information that could result in the unauthorized disclosure, misuse, alteration, destruction, or other compromise of such information, and reassess the sufficiency of any safeguards in place to control these risks.",,You shall periodically perform additional risk assessments,,,,,,,,,,,,,,
GLBA Standards for Safeguarding Customer Information,§ 314.4 (c) (1) (i),,Safeguards,GLBA Standards for Safeguarding Customer Information § 314.4 (c) (1) (i),GLBA Standards for Safeguarding Customer Information § 314.4 (c) (1) (i): Implement and periodically review acess controls to authenticate and permit access only to authorized users,"Design and implement safeguards to control the risks you identity through risk assessment, including by implementing and periodically reviewing access controls, including technical and, as appropriate, physical controls to authenticate and permit access only to authorized users to protect against the unauthorized acquisition of customer information.",,Implement and periodically review acess controls to authenticate and permit access only to authorized users,,,,,,,,,,,,,,
