Control Framework,Control Family,Control Class,Control Short Name,Control Long Name,Control Number,Requirements
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.1 Roles and Responsibilities of Information Security,1.1.1 Board of Directors ,1.1.1 Board of Directors ,1.1.1,"a. Accept the overall responsibility of Information Security & present committed
b. Implement information security program/management system and reviewing risk assessment reports"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.1 Roles and Responsibilities of Information Security,1.1.2 Director General / CEO,1.1.2 Director General / CEO,1.1.2,"a. Overall responsibility of information security
b. Enforcing information security policies implementation across the entity and monitoring compliance
c. Enforcing accountability towards information security"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.1 Roles and Responsibilities of Information Security,1.1.3 Information Security Steering Committee,1.1.3 Information Security Steering Committee,1.1.3,"a. Supervise and ensure the implementation of an Information Security Management System
b. Conduct periodical reviews on the implementation of ISR
c. Review and approve periodically the information security policies and procedures for implementation within the entity
d. Ensure that adequate resources are provided for ISR Implementation
e. Make recommendations for both corrective and preventive actions
f. Review the Information Security Incidents and their responses
g. Ensure that recommendations approved by the committee are implemented
h. Ensure that relevant information security methodologies are part of all business processes and any new initiatives or projects across all the entity departments or functions.
i. Follow up and review both internal and external audits results for effectiveness of Information Security Regulation implementation and ensure necessary and timely corrective actions are taken
j. Review and approve the information security risk assessment methodology and risk assessment related results that is used across the entity.
k. Ensure that Information Security requirements are integrated as part of contractual requirements in their respective project management activities"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.1 Roles and Responsibilities of Information Security,1.1.4 Senior Management,1.1.4 Senior Management,1.1.4,"a. Ensure that each employee understands his/her information securityrelated responsibilities after reading the information security policy and acknowledges through a formal sign-off that he/she understands and intends to comply with those requirements.
b. Determine the criticality and business risk of their information systems and information assets
c. Periodically assess information assets and their associated risks
d. Determine and review the privileges to information assets and systems on a periodic basis
e. Implement information security policies and procedures to cost-effectively reduce risk to acceptable levels
f. Periodically, ensure conducting technical security testing
g. Report any evidence of information security compromise
h. Respond to information security incidents
i. Communicate the risk assessment results to relevant stakeholders. 
j. Ensure that information security requirements are incorporated on respective department’s project activities/contracts."
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.1 Roles and Responsibilities of Information Security,1.1.5 Information Security Position,1.1.5 Information Security Position,1.1.5,"a. Plan, implement and maintain an information security program/management system integrated with the whole entity’s processes
b. Coordinate with the senior management on the identification, development, secure handling and management of entity wide information assets
c. Plan, develop and maintain an organization wide information security risk assessment methodology in coordination with the higher management in the entity
d. Ensure that appropriate operational controls are selected and implemented according to the results of the risk assessment
e. Develop the required policies, and procedures
f. Ensure organization wide compliance to the ISR and report non-compliance to the IS steering committee
g. Plan and conduct periodic information security awareness, education and training for entity’s staff and applicable external parties."
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.1 Roles and Responsibilities of Information Security,1.1.6 Employees,1.1.6 Employees,1.1.6,"a. As Information security champions/representatives /coordinators across all divisions
b. Responsible for adhering to the information security policies/processes/program and for reporting any security breaches or incidents"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.2 Information Security Policy,1.2.1 Information Security Policy Document,1.2.1 Information Security Policy Document,1.2.1,"a. Develops, distributes and maintains an entity-wide information security policy and ensure awareness for all employees within the entity & external parties
b. Ensure the Information security policy is approved by top management, published and communicated to employees and relevant external parties"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.2 Information Security Policy,1.2.2 Information Security Policy Alignment with the Entity Strategy,1.2.2 Information Security Policy Alignment with the Entity Strategy,1.2.2,Aligns the information security policy with the entity overall strategy
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.2 Information Security Policy,1.2.3 Review of Information Security Policy,1.2.3 Review of Information Security Policy,1.2.3,"a. Regular review of the information security policy,  at least once a year
b. Reports any update or review of the information security policy to the Steering committee & sets declaration with Director General"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.3 Technical and Operational Policies,1.3.1 ,1.3.1 ,1.3.1 ,"Develops, distributes and maintains a set of technical/operational information security policies based on the results of the risk assessment"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.3 Technical and Operational Policies, 1.3.2 , 1.3.2 , 1.3.2 ,Development of procedures and guidelines that cover the implementation details of the policies in accordance with the risk assessment results
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.4 Information Security Awareness and Training,1.4.1,1.4.1,1.4.1,"Designs, develops, and implements an information security awareness program throught the year based on roles, divisions inline with Information security policies."
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.4 Information Security Awareness and Training,1.4.2,1.4.2,1.4.2,Provides basic information security training and awareness to all personnel within the entity by skilled competent resources
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.4 Information Security Awareness and Training,1.4.3,1.4.3,1.4.3,"Provides periodic & adequate information security trainings, to be delivered by skilled /competent resources for the employees of information security management system within their respective business areas"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.4 Information Security Awareness and Training,1.4.4,1.4.4,1.4.4,Designs and maintains the information security awareness materials that educates users on information security policies and covers entity’s business operations’ security risk and focus on reducing possible business risks.
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.4 Information Security Awareness and Training,1.4.5,1.4.5,1.4.5,"Develops periodic security awareness surveys to measure the security training effectiveness & awareness level of all entity personnel  & applicable external parties,  to improve the overall awareness program"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.4 Information Security Awareness and Training,1.4.6,1.4.6,1.4.6,Documents information security training and awareness attendance records for all personnel
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.5 Confidentiality Agreements,1.5.1,1.5.1,1.5.1,"Develops, and regularly reviews a non-disclosure or confidentiality agreement signed by all employees and external parties, emphasizing the ""need to know"" concept"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.5 Confidentiality Agreements,1.5.2,1.5.2,1.5.2,"Educates personnel and makes them aware of the confidentiality of government information and how information leakage, can impact the entity"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.6 Relations and Sustainability of Information Security,1.6.1,1.6.1,1.6.1,Maintains appropriate contacts with relevant authorities within the field of information security
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.6 Relations and Sustainability of Information Security,1.6.2,1.6.2,1.6.2,"Identifies key contacts of certain security and judicial authorities to be contacted in the cases of information security incidents, breaches, etc."
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.6 Relations and Sustainability of Information Security,1.6.3,1.6.3,1.6.3,"Maintains interactions  and/or  memberships with information security interest groups, forums and associations"
