Control Framework,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Control Number,Control Family,Control Class,Control Priority
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.1,PCI Data Security Standard v3.2.1 - 1.1,Establish and implement firewall and router configuration standards that include the following:,"Firewalls and routers are key components of the architecture that controls entry to and exit from the network. These devices are software or hardware devices that block unwanted access and manage authorized access into and out of the network.

Configuration standards and procedures will help to ensure that the organization’s first line of defense in the protection of its data remains strong.",1.1,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.1.1,PCI Data Security Standard v3.2.1 - 1.1.1,A formal process for approving and testing all network connections and changes to the firewall and router configurations,"A documented and implemented process for approving and testing all connections and changes to the firewalls and routers will help prevent security problems caused by misconfiguration of the network, router, or firewall.

Without formal approval and testing of changes, records of the changes might not be updated, which could lead to inconsistencies between network documentation and the actual configuration.",1.1.1,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.1.2,PCI Data Security Standard v3.2.1 - 1.1.2,"Current network diagram that identifies all connections between the cardholder data environment and other networks, including any wireless networks","Network diagrams describe how networks are configured, and identify the location of all network devices.

Without current network diagrams, devices could be overlooked and be unknowingly left out of the security controls implemented for PCI DSS and thus be vulnerable to compromise.",1.1.2,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.1.3,PCI Data Security Standard v3.2.1 - 1.1.3,Current diagram that shows all cardholder data flows across systems and networks ,"Cardholder data-flow diagrams identify the location of all cardholder data that is stored, processed, or transmitted within the network.

Network and cardholder data-flow diagrams help an organization to understand and keep track of the scope of their environment, by showing how cardholder data flows across networks and between individual systems and devices.",1.1.3,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.1.4,PCI Data Security Standard v3.2.1 - 1.1.4,Requirements for a firewall at each Internet connection and between any demilitarized zone (DMZ) and the internal network zone,"Using a firewall on every Internet connection coming into (and out of) the network, and between any DMZ and the internal network, allows the organization to monitor and control access and minimizes the chances of a malicious individual obtaining access to the internal network via an unprotected connection.",1.1.4,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.1.5,PCI Data Security Standard v3.2.1 - 1.1.5,"Description of groups, roles, and responsibilities for management of network components","This description of roles and assignment of responsibilities ensures that personnel are aware of who is responsible for the security of all network components, and that those assigned to manage components are aware of their responsibilities. If roles and responsibilities are not formally assigned, devices could be left unmanaged.",1.1.5,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.1.6,PCI Data Security Standard v3.2.1 - 1.1.6,"Documentation of business justification and approval for use of all services, protocols, and ports allowed, including documentation of security features implemented for those protocols considered to be insecure.","Compromises often happen due to unused or insecure service and ports, since these often have known vulnerabilities and many organizations don’t patch vulnerabilities for the services, protocols, and ports they don't use (even though the vulnerabilities are still present). By clearly defining and documenting the services, protocols, and ports that are necessary for business, organizations can ensure that all other services, protocols, and ports are disabled or removed. 

Approvals should be granted by personnel independent of the personnel managing the configuration.

If insecure services, protocols, or ports are necessary for business, the risk posed by use of these protocols should be clearly understood and accepted by the organization, the use of the protocol should be justified, and the security features that allow these protocols to be used securely should be documented and implemented. If these insecure services, protocols, or ports are not necessary for business, they should be disabled or removed.

For guidance on services, protocols, or ports considered to be insecure, refer to industry standards and guidance (e.g., NIST, ENISA, OWASP, etc.).",1.1.6,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.1.7,PCI Data Security Standard v3.2.1 - 1.1.7,Requirement to review firewall and router rule sets at least every six months,"This review gives the organization an opportunity at least every six months to clean up any unneeded, outdated, or incorrect rules, and ensure that all rule sets allow only authorized services and ports that match the documented business justifications.

Organizations with a high volume of changes to firewall and router rule sets may wish to consider performing reviews more frequently, to ensure that the rule sets continue to meet the needs of the business.",1.1.7,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"6 - Finalize remaining compliance efforts, and ensure all controls are in place"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.2,PCI Data Security Standard v3.2.1 - 1.2,"Build firewall and router configurations that restrict connections between untrusted networks and any system components in the cardholder data environment.

Note: An “untrusted network” is any network that is external to the networks belonging to the entity under review, and/or which is out of the entity's ability to control or manage.","It is essential to install network protection between the internal, trusted network and any untrusted network that is external and/or out of the entity’s ability to control or manage. Failure to implement this measure correctly results in the entity being vulnerable to unauthorized access by malicious individuals or software.

For firewall functionality to be effective, it must be properly configured to control and/or limit traffic into and out of the entity’s network.",1.2,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.2.1,PCI Data Security Standard v3.2.1 - 1.2.1,"Restrict inbound and outbound traffic to that which is necessary for the cardholder data environment, and specifically deny all other traffic.","Examination of all inbound and outbound connections allows for inspection and restriction of traffic based on the source and/or destination address, thus preventing unfiltered access between untrusted and trusted environments. This prevents malicious individuals from accessing the entity’s network via unauthorized IP addresses or from using services, protocols, or ports in an unauthorized manner (for example, to send data they've obtained from within the entity’s network out to an untrusted server).

Implementing a rule that denies all inbound and outbound traffic that is not specifically needed helps to prevent inadvertent holes that would allow unintended and potentially harmful traffic in or out.",1.2.1,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
