Control Framework,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Control Number,Control Family,Control Class,Control Priority,Defined approach requirements,Customized Approach Objective,Applicability Notes,Defined Approach Testing Procedures,Purpose,Good Practice,Definitions,Further Information,Examples
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.1,PCI Data Security Standard v4.0 - 1.1,Processes and mechanisms for installing and maintaining network security controls are defined and understood.,,1.1,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.1.1,PCI Data Security Standard v4.0 - 1.1.1,"All security policies and operational procedures that are identified in requirement 1 are documented, kept up to date, in use and known to all affected parties.","Purpose
Requirement 1.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 1. While it is important to define the specific policies or procedures called out in Requirement 1, it is equally important to ensure they are properly documented, maintained, and disseminated.

Good Practice
It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For these reasons, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.

Definitions
Requirement 1.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 1. While it is important to define the specific policies or procedures called out in Requirement 1, it is equally important to ensure they are properly documented, maintained, and disseminated.

",1.1.1,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"All security policies and operational procedures that are identified in requirement 1 are documented, kept up to date, in use and known to all affected parties.","Expectations, controls, and oversight for meeting activities within Requirement 1 are defined, understood, and adhered to by affected personnel. All supporting activities are repeatable, consistently applied, and conform to management’s intent.",,Examine documentation and interview personnel to verify that security policies and operational procedures identified in Requirement 1 are managed in accordance with all elements specified in this requirement.,"Requirement 1.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 1. While it is important to define the specific policies or procedures called out in Requirement 1, it is equally important to ensure they are properly documented, maintained, and disseminated.","It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For these reasons, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.","Security policies define the entity’s security objectives and principles. Operational procedures describe how to perform activities, and define the controls, methods, and processes that are followed to achieve the desired result in a consistent manner and in accordance with policy objectives.",,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.1.2,PCI Data Security Standard v4.0 - 1.1.2,"Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.","Purpose
If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur.

Good Practice
Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.

",1.1.2,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.","Day-to-day responsibilities for performing all the activities in Requirement 1 are allocated. Personnel are accountable for successful, continuous operation of these requirements.",,"a. Examine documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 1 are documented and assigned.

b. Interview personnel responsible for performing activities in Requirement 1 to verify that roles and responsibilities are assigned as documented and are understood.a.","If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur.","Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.",,,"A method to document roles and responsibilities is a responsibility assignment matrix that includes who is responsible, accountable, consulted, and informed (also called a RACI matrix)."
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2,PCI Data Security Standard v4.0 - 1.2,Network security controls (NSCs) are configured and maintained.,,1.2,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2.1,PCI Data Security Standard v4.0 - 1.2.1,"Configuration standards for NSC rulesets are Defined, Implemented, and Maintained.","Purpose
The implementation of these configuration standards results in the NSC being configured and managed to properly perform their security function (often referred to as the ruleset).

Good Practice
These standards often define the requirements for acceptable protocols, ports that are permitted to be used, and specific configuration requirements that are acceptable. Configuration standards may also outline what the entity considers not acceptable or not permitted within its network.

Definitions
The implementation of these configuration standards results in the NSC being configured and managed to properly perform their security function (often referred to as the ruleset).

",1.2.1,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"Configuration standards for NSC rulesets are Defined, Implemented, and Maintained.",The way that NSCs are configured and operate are defined and consistently applied.,,"a. Examine the configuration standards for NSC rulesets to verify the standards are in accordance with all elements specified in this requirement.

b. Examine configuration settings for NSC rulesets to verify that rulesets are implemented according to the configuration standards.",The implementation of these configuration standards results in the NSC being configured and managed to properly perform their security function (often referred to as the ruleset).,"These standards often define the requirements for acceptable protocols, ports that are permitted to be used, and specific configuration requirements that are acceptable. Configuration standards may also outline what the entity considers not acceptable or not permitted within its network.","NSCs are key components of a network architecture. Most commonly, NSCs are used at the boundaries of the CDE to control network traffic flowing inbound and outbound from the CDE. Configuration standards outline an entity’s minimum requirements for the configuration of its NSCs.",,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2.2,PCI Data Security Standard v4.0 - 1.2.2,All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.,"Good Practice
Changes should be approved by individuals with the appropriate authority and knowledge to understand the impact of the change. Verification should provide reasonable assurance that the change did not adversely impact the security of the network and that the change performs as expected. To avoid having to address security issues introduced by a change, all changes should be approved prior to being implemented and verified after the change is implemented. Once approved and verified, network documentation should be updated to include the changes to prevent inconsistencies between network documentation and the actual configuration.

",1.2.2,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1.,"Changes to network connections and NSCs cannot result in misconfiguration, implementation of insecure services, or unauthorized network connections.","Changes to network connections include the addition, removal, or modification of a connection. Changes to NSC configurations include those related to the component itself as well as those affecting how it performs its security function.","a. Examine documented procedures to verify that changes to network connections and configurations of NSCs are included in the formal change control process in accordance with Requirement 6.5.1.

b. Examine network configuration settings to identify changes made to network connections. Interview responsible personnel and examine change control records to verify that identified changes to network connections were approved and managed in accordance with Requirement 6.5.1.

c. Examine network configuration settings to identify changes made to configurations of NSCs. Interview responsible personnel and examine change control records to verify that identified changes to configurations of NSCs were approved and managed in accordance with Requirement 6.5.1.",,"Changes should be approved by individuals with the appropriate authority and knowledge to understand the impact of the change. Verification should provide reasonable assurance that the change did not adversely impact the security of the network and that the change performs as expected. To avoid having to address security issues introduced by a change, all changes should be approved prior to being implemented and verified after the change is implemented. Once approved and verified, network documentation should be updated to include the changes to prevent inconsistencies between network documentation and the actual configuration.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2.3,PCI Data Security Standard v4.0 - 1.2.3,"An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks.","Purpose
Maintaining an accurate and up-to-date network diagram(s) prevents network connections and devices from being overlooked and unknowingly left unsecured and vulnerable to compromise. A properly maintained network diagram(s) helps an organization verify its PCI DSS scope by identifying systems connecting to and from the CDE.

Good Practice
All connections to and from the CDE should be
identified, including systems providing security,
management, or maintenance services to CDE
system components. Entities should consider
including the following in their network diagrams:
 All locations, including retail locations, data
centers, corporate locations, cloud providers,
etc.
• Clear labeling of all network segments.
• All security controls providing segmentation,
including unique identifiers for each control
(for example, name of control, make, model,
and version).
• All in-scope system components, including
NSCs, web app firewalls, anti-malware
solutions, change management solutions,
IDS/IPS, log aggregation systems, payment
terminals, payment applications, HSMs, etc.
• Clear labeling of any out-of-scope areas on
the diagram via a shaded box or other
mechanism.
• Date of last update, and names of people that
made and approved the updates.
• A legend or key to explain the diagram.
Diagrams should be updated by authorized
personnel to ensure diagrams continue to provide
an accurate description of the network.

",1.2.3,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks.","A representation of the boundaries between the CDE, all trusted networks, and all untrusted networks, is maintained and available.",A current network diagram(s) or other technical or topological solution that identifies network connections and devices can be used to meet this requirement.,"a.  Examine diagram(s) and network configurations to verify that an accurate network diagram(s) exists in accordance with all elements specified in this requirement.

b. Examine documentation and interview responsible personnel to verify that the network diagram(s) is accurate and updated when there are changes to the environment.",Maintaining an accurate and up-to-date network diagram(s) prevents network connections and devices from being overlooked and unknowingly left unsecured and vulnerable to compromise. A properly maintained network diagram(s) helps an organization verify its PCI DSS scope by identifying systems connecting to and from the CDE.,"All connections to and from the CDE should be
identified, including systems providing security,
management, or maintenance services to CDE
system components. Entities should consider
including the following in their network diagrams:
 All locations, including retail locations, data
centers, corporate locations, cloud providers,
etc.
• Clear labeling of all network segments.
• All security controls providing segmentation,
including unique identifiers for each control
(for example, name of control, make, model,
and version).
• All in-scope system components, including
NSCs, web app firewalls, anti-malware
solutions, change management solutions,
IDS/IPS, log aggregation systems, payment
terminals, payment applications, HSMs, etc.
• Clear labeling of any out-of-scope areas on
the diagram via a shaded box or other
mechanism.
• Date of last update, and names of people that
made and approved the updates.
• A legend or key to explain the diagram.
Diagrams should be updated by authorized
personnel to ensure diagrams continue to provide
an accurate description of the network.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2.4,PCI Data Security Standard v4.0 - 1.2.4,"An accurate data-flow diagram(s) is maintained that meets the following:
• Shows all account data flows across systems and networks.
• Updated as needed upon changes to the environment.","Purpose
An up-to-date, readily available data-flow diagram helps an organization understand and keep track of the scope of its environment by showing how account data flows across networks and between individual systems and devices. Maintaining an up-to-date data-flow diagram(s) prevents account data from being overlooked and unknowingly left unsecured.

Good Practice
The data-flow diagram should include all connection points where account data is received into and sent out of the network, including connections to open, public networks, application processing flows, storage, transmissions between systems and networks, and file backups. The data-flow diagram is meant to be in addition to the network diagram and should reconcile with and augment the network diagram. As a best practice, entities can consider including the following in their data-flow diagrams:
• All processing flows of account data, including authorization, capture, settlement, chargeback, and refunds.
• All distinct acceptance channels, including card-present, card-not-present, and e-commerce.
• All types of data receipt or transmission, including any involving hard copy/paper media.
• The flow of account data from the point where it enters the environment, to its final disposition.
• Where account data is transmitted and processed, where it is stored, and whether storage is short term or long term.
• The source of all account data received (for example, customers, third party, etc.), and any entities with which account data is shared.
• Date of last update, and names of people that made and approved the updates.

",1.2.4,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"An accurate data-flow diagram(s) is maintained that meets the following:
• Shows all account data flows across systems and networks.
• Updated as needed upon changes to the environment.",A representation of all transmissions of account data between system components and across network segments is maintained and available.,A data-flow diagram(s) or other technical or topological solution that identifies flows of account data across systems and networks can be used to meet this requirement.,"a. Examine data-flow diagram(s) and interview personnel to verify the diagram(s) show all account data flows in accordance with all elements specified in this requirement.

b. Examine documentation and interview responsible personnel to verify that the data-flow diagram(s) is accurate and updated when there are changes to the environment.","An up-to-date, readily available data-flow diagram helps an organization understand and keep track of the scope of its environment by showing how account data flows across networks and between individual systems and devices. Maintaining an up-to-date data-flow diagram(s) prevents account data from being overlooked and unknowingly left unsecured.","The data-flow diagram should include all connection points where account data is received into and sent out of the network, including connections to open, public networks, application processing flows, storage, transmissions between systems and networks, and file backups. The data-flow diagram is meant to be in addition to the network diagram and should reconcile with and augment the network diagram. As a best practice, entities can consider including the following in their data-flow diagrams:
• All processing flows of account data, including authorization, capture, settlement, chargeback, and refunds.
• All distinct acceptance channels, including card-present, card-not-present, and e-commerce.
• All types of data receipt or transmission, including any involving hard copy/paper media.
• The flow of account data from the point where it enters the environment, to its final disposition.
• Where account data is transmitted and processed, where it is stored, and whether storage is short term or long term.
• The source of all account data received (for example, customers, third party, etc.), and any entities with which account data is shared.
• Date of last update, and names of people that made and approved the updates.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2.5,PCI Data Security Standard v4.0 - 1.2.5,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.","Purpose
Compromises often happen due to unused or insecure services (for example, telnet and FTP), protocols, and ports, since these can lead to unnecessary points of access being opened into the CDE. Additionally, services, protocols, and ports that are enabled but not in use are often overlooked and left unsecured and unpatched. By identifying the services, protocols, and ports necessary for business, entities can ensure that all other services, protocols, and ports are disabled or removed.

Good Practice
The security risk associated with each service, protocol, and port allowed should be understood. Approvals should be granted by personnel independent of those managing the configuration. Approving personnel should possess knowledge and accountability appropriate for making approval decisions.

",1.2.5,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"All services, protocols, and ports allowed are identified, approved, and have a defined business need.","Unauthorized network traffic (services, protocols, or packets destined for specific ports) cannot enter or leave the network.",,"a. Examine documentation to verify that a list exists of all allowed services, protocols, and ports, including business justification and approval for each.

b. Examine configuration settings for NSCs to verify that only approved services, protocols, and ports are in use.","Compromises often happen due to unused or insecure services (for example, telnet and FTP), protocols, and ports, since these can lead to unnecessary points of access being opened into the CDE. Additionally, services, protocols, and ports that are enabled but not in use are often overlooked and left unsecured and unpatched. By identifying the services, protocols, and ports necessary for business, entities can ensure that all other services, protocols, and ports are disabled or removed.","The security risk associated with each service, protocol, and port allowed should be understood. Approvals should be granted by personnel independent of those managing the configuration. Approving personnel should possess knowledge and accountability appropriate for making approval decisions.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2.6,PCI Data Security Standard v4.0 - 1.2.6,"Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.","Purpose
Compromises take advantage of insecure network configurations.

Good Practice
If insecure services, protocols, or ports are necessary for business, the risk posed by these services, protocols, and ports should be clearly understood and accepted by the organization, the use of the service, protocol, or port should be justified, and the security features that mitigate the risk of using these services, protocols, and ports should be defined and implemented by the entity.

",1.2.6,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.","The specific risks associated with the use of insecure services, protocols, and ports are understood, assessed, and appropriately mitigated.",,"a. Examine documentation that identifies all insecure services, protocols, and ports in use to verify that for each, security features are defined to mitigate the risk.

b. Examine configuration settings for NSCs to verify that the defined security features are implemented for each identified insecure service, protocol, and port.",Compromises take advantage of insecure network configurations.,"If insecure services, protocols, or ports are necessary for business, the risk posed by these services, protocols, and ports should be clearly understood and accepted by the organization, the use of the service, protocol, or port should be justified, and the security features that mitigate the risk of using these services, protocols, and ports should be defined and implemented by the entity.",,"For guidance on services, protocols, or ports considered to be insecure, refer to industry standards and guidance (for example, from NIST, ENISA, OWASP).",
